C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
C0508,N/A,N/A,N/A,N/A,N/A,4 element 100nF/10V array,N/A,N/A,N/A,N/A
